title,product_link,price_text,shop_name,reviews_count,is_digital,num_images,primary_category,tags,seller_name,seller_link,total_sales_of_seller,rating,collected_at
"LoadingPopulaireTéléchargement numériqueAgenda numérique tout-en-un 2025, 2026, 2027, Agenda numérique, Journal numérique, Modèle Digital Goodnotes, Hebdomadaire, Agenda quotidien, Notability4.8(7,7 K)Annonce de phenixdigitalAnnonce de la boutique phenixdigitalBoutique :PhenixdigitalDe la boutique phenixdigitalPrix réduit USD 0.99USD0.99USD3.96Prix d'origine USD 3.96(75 % de réduction)",https://www.etsy.com/fr/listing/1784469516/agenda-numerique-tout-en-un-2025-2026,0.99,,,True,145,,,phenixdigital,https://www.etsy.com/fr/shop/phenixdigital?ref=shop-header-name&listing_id=1784469516&from_page=listing,,0.0,2025-10-14T11:50:37.670259
"LoadingPopulaireTéléchargement numériqueAgenda numérique 2026, Agenda hebdomadaire, Agenda mensuel, Agenda Goodnotes, Agenda iPad, Agenda 2026, Agenda minimaliste, Agenda de notoriété4.8(10,1 K)Annonce de ManifestableAnnonce de la boutique ManifestableBoutique :ManifestableDe la boutique ManifestablePrix réduit USD 3.99USD3.99USD9.98Prix d'origine USD 9.98(60 % de réduction)",https://www.etsy.com/fr/listing/4368191041/agenda-numerique-2026-agenda,3.99,,,True,146,,,Manifestable,https://www.etsy.com/fr/shop/Manifestable?ref=shop-header-name&listing_id=4368191041&from_page=listing,,0.0,2025-10-14T11:51:05.311508
"LoadingPopulaireTéléchargement numériqueAgenda numérique non daté, agenda iPad et Android, calendrier GoodNotes, journal quotidien, hebdomadaire et mensuel avec autocollants, agenda iPad 2025-20264.7(5,7 K)Annonce de BrighterPlansAnnonce de la boutique BrighterPlansBoutique :BrighterPlansDe la boutique BrighterPlansPrix réduit USD 3.39USD3.39USD8.48Prix d'origine USD 8.48(60 % de réduction)",https://www.etsy.com/fr/listing/4329390689/agenda-numerique-non-date-agenda-ipad-et,3.39,,,True,155,,,BrighterPlans,https://www.etsy.com/fr/shop/BrighterPlans?ref=shop-header-name&listing_id=4329390689&from_page=listing,,0.0,2025-10-14T11:52:03.868855
LoadingPopulaireTéléchargement numérique2026 Digital Planner | DATED Goodnotes Digital Planner 2026 | Digital Journal | Daily Planner | iPad Planner | Daily Notability Planner4.7(3 K)Annonce de PixeIPerfectPlannersAnnonce de la boutique PixeIPerfectPlannersBoutique :PixeIPerfectPlannersDe la boutique PixeIPerfectPlannersPrix réduit USD 1.98USD1.98USD3.96Prix d'origine USD 3.96(50 % de réduction),https://www.etsy.com/fr/listing/1632709290/2026-digital-planner-dated-goodnotes,1.98,,,True,144,,,PixeIPerfectPlanners,https://www.etsy.com/fr/shop/PixeIPerfectPlanners?ref=shop-header-name&listing_id=1632709290&from_page=listing,,0.0,2025-10-14T11:52:28.028309
"LoadingPopulaireTéléchargement numériqueAgenda numérique 2026, Agendas PLR, Agenda numérique MRR, Journal Plr, Produit numérique Plr, Contenu Dfy, Carnet Plr, Produits numériques Mrr4.7(1,3 K)Annonce de mynoxilAnnonce de la boutique mynoxilBoutique :MynoxilDe la boutique mynoxilPrix réduit USD 1.50USD1.50USD5.00Prix d'origine USD 5.00(70 % de réduction)",https://www.etsy.com/fr/listing/4375087198/agenda-numerique-2026-agendas-plr-agenda,1.50,,,True,143,,,mynoxil,https://www.etsy.com/fr/shop/mynoxil?ref=shop-header-name&listing_id=4375087198&from_page=listing,,0.0,2025-10-14T11:52:54.316434
"PopulaireTéléchargement numériqueAgenda numérique 2026 : portrait, hyperlien, bonnes notes, notabilité (téléchargement numérique)4.7(12 K)Annonce de LiveLovePlannersAnnonce de la boutique LiveLovePlannersBoutique :LiveLovePlannersDe la boutique LiveLovePlannersPrix réduit USD 3.47USD3.47USD6.96Prix d'origine USD 6.96(50 % de réduction)",https://www.etsy.com/fr/listing/4334675897/agenda-numerique-2026-portrait-hyperlien,3.47,,,True,143,,,LiveLovePlanners,https://www.etsy.com/fr/shop/LiveLovePlanners?ref=shop-header-name&listing_id=4334675897&from_page=listing,,0.0,2025-10-14T11:53:18.673702
"LoadingPopulaireTéléchargement numériqueAgenda numérique 2025, 2026, 2027, non daté, agenda GoodNotes, agenda iPad, agenda personnalisable, journalier, hebdomadaire, mensuel, modèle GoodNotes4.7(317)Annonce de FeelinfyAnnonce de la boutique FeelinfyFabriqué parFeelinfyDe la boutique FeelinfyPrix réduit USD 2.10USD2.10USD7.00Prix d'origine USD 7.00(70 % de réduction)",https://www.etsy.com/fr/listing/1832747024/agenda-numerique-2025-2026-2027-non-date,2.10,,,True,116,,,Feelinfy,https://www.etsy.com/fr/shop/Feelinfy?ref=shop-header-name&listing_id=1832747024&from_page=listing,,0.0,2025-10-14T11:53:43.807196
"LoadingPopulaireTéléchargement numérique2026 All-in-One Digital Planner: Rainbow Theme, Goodnotes & Notability4.7(3,8 K)Annonce de AuraPlannersCoAnnonce de la boutique AuraPlannersCoBoutique :AuraPlannersCoDe la boutique AuraPlannersCoPrix réduit USD 1.80USD1.80USD3.60Prix d'origine USD 3.60(50 % de réduction)",https://www.etsy.com/fr/listing/4366210790/2026-all-in-one-digital-planner-rainbow,1.80,,,True,151,,,AuraPlannersCo,https://www.etsy.com/fr/shop/AuraPlannersCo?ref=shop-header-name&listing_id=4366210790&from_page=listing,,0.0,2025-10-14T11:54:12.986425
"PopulaireTéléchargement numériqueAgenda numérique 2025-2026 pour GoodNotes : hebdomadaire, quotidien, mensuel (téléchargement numérique, PDF, autocollants inclus)4.8(3,2 K)Annonce de UrsolPlannersAnnonce de la boutique UrsolPlannersFabriqué parUrsolPlannersDe la boutique UrsolPlannersPrix réduit USD 2.73USD2.73USD9.09Prix d'origine USD 9.09(70 % de réduction)",https://www.etsy.com/fr/listing/1511613224/agenda-numerique-2025-2026-pour,2.73,,,True,139,,,UrsolPlanners,https://www.etsy.com/fr/shop/UrsolPlanners?ref=shop-header-name&listing_id=1511613224&from_page=listing,,0.0,2025-10-14T11:54:34.044763
"LoadingPopulaireTéléchargement numériqueAgenda numérique 2025 2026 semestriel d'Allie Marie4.9(2,4 K)Annonce deAllieMarieDigitalAnnonce de la boutique AllieMarieDigitalBoutique : AllieMarieDigitalDe la boutique AllieMarieDigitalUSD18.88",https://www.etsy.com/fr/listing/4303228166/agenda-numerique-2025-2026-semestriel,18.88,,,True,152,,,AllieMarieDigital,https://www.etsy.com/fr/shop/AllieMarieDigital?ref=shop-header-name&listing_id=4303228166&from_page=listing,,0.0,2025-10-14T11:54:56.405556
"LoadingPopulaireTéléchargement numérique2026 Digital Planner, 2026 Portrait Planner, 2026 Planner, 2026 Dated Planner, Hyperlinked Digital Life Planner, GoodNotes 2026 Planner iPad4.8(4 K)Annonce deTheFlowPlannerAnnonce de la boutique TheFlowPlannerFabriqué par TheFlowPlannerDe la boutique TheFlowPlannerPrix réduit USD 18.74USD18.74USD24.99Prix d'origine USD 24.99(25 % de réduction)",https://www.etsy.com/fr/listing/1127394968/2026-digital-planner-2026-portrait,18.74,,,True,148,,,TheFlowPlanner,https://www.etsy.com/fr/shop/TheFlowPlanner?ref=shop-header-name&listing_id=1127394968&from_page=listing,,0.0,2025-10-14T11:55:17.147280
"LoadingPopulaireTéléchargement numériqueAll-in-One Digital Planner 2025 2026 2027, Hyperlink Digital Planner, Daily Weekly Monthly Journal, Goodnotes Planner, Apple Google Calendar4.6(2,7 K)Annonce de RachyTreasuresAnnonce de la boutique RachyTreasuresBoutique :RachyTreasuresDe la boutique RachyTreasuresPrix réduit USD 0.89USD0.89USD2.98Prix d'origine USD 2.98(70 % de réduction)",https://www.etsy.com/fr/listing/1867253627/all-in-one-digital-planner-2025-2026,0.89,,,True,141,,,RachyTreasures,https://www.etsy.com/fr/shop/RachyTreasures?ref=shop-header-name&listing_id=1867253627&from_page=listing,,0.0,2025-10-14T11:55:38.366551
"LoadingPopulaireTéléchargement numériqueAgenda numérique 2025, 2026 et non daté, Agenda GoodNotes, Agenda quotidien, Agenda hebdomadaire, Agenda Notability, Agenda iPad, Agenda Google Apple, Agenda4.8(7,6 K)Annonce de tinacreativecoAnnonce de la boutique tinacreativecoFabriqué parTinacreativecoDe la boutique tinacreativecoPrix réduit USD 3.47USD3.47USD11.55Prix d'origine USD 11.55(70 % de réduction)",https://www.etsy.com/fr/listing/1647460375/agenda-numerique-2025-2026-et-non-date,3.47,,,True,154,,,tinacreativeco,https://www.etsy.com/fr/shop/tinacreativeco?ref=shop-header-name&listing_id=1647460375&from_page=listing,,0.0,2025-10-14T11:55:56.423085
Best-sellerTéléchargement numériqueModèle Canva Planner 2026 365 jours | PDF imprimable de l'intérieur KDP | Agenda mensuel hebdomadaire hebdomadaire modifiable4.9(20)Annonce de CreativeWorldLabAnnonce de la boutique CreativeWorldLabBoutique :CreativeWorldLabDe la boutique CreativeWorldLabPrix réduit USD 2.00USD2.00USD4.00Prix d'origine USD 4.00(50 % de réduction),https://www.etsy.com/fr/listing/4342797454/modele-canva-planner-2026-365-jours-o,2.00,,,False,40,,,CreativeWorldLab,https://www.etsy.com/fr/shop/CreativeWorldLab?ref=shop-header-name&listing_id=4342797454&from_page=listing,,0.0,2025-10-14T11:56:14.001844
"PopulaireTéléchargement numériqueAgenda numérique tout-en-un 2025, 2026, 2027, Agenda numérique, Journal numérique, Modèle Digital Goodnotes, Hebdomadaire, Agenda quotidien, Notability4.8(7,7 K)Annonce de phenixdigitalAnnonce de la boutique phenixdigitalBoutique :PhenixdigitalDe la boutique phenixdigitalPrix réduit USD 0.99USD0.99USD3.96Prix d'origine USD 3.96(75 % de réduction)",https://www.etsy.com/fr/listing/4376647853/agenda-numerique-tout-en-un-2025-2026,0.99,,,True,147,,,phenixdigital,https://www.etsy.com/fr/shop/phenixdigital?ref=shop-header-name&listing_id=4376647853&from_page=listing,,0.0,2025-10-14T11:56:34.300146
"LoadingPopulaireTéléchargement numériqueAgenda 2025 2026 TDAH, Agenda numérique TDAH, Agenda iPad, Agenda Goodnotes, Agenda hebdomadaire mensuel et quotidien, Agenda avec liens hypertexte Notability4.8(10,1 K)Annonce de ManifestableAnnonce de la boutique ManifestableBoutique :ManifestableDe la boutique ManifestablePrix réduit USD 5.32USD5.32USD13.31Prix d'origine USD 13.31(60 % de réduction)",https://www.etsy.com/fr/listing/4332596790/agenda-2025-2026-tdah-agenda-numerique,5.32,,,True,148,,,Manifestable,https://www.etsy.com/fr/shop/Manifestable?ref=shop-header-name&listing_id=4332596790&from_page=listing,,0.0,2025-10-14T11:56:55.412128
"LoadingPopulaireTéléchargement numériqueAgenda numérique 2026 pour Goodnotes, Notability, iPad et Samsung Tab | Agenda esthétique | Vertical moderne et minimaliste | Daté4.9(3 K)Annonce deBytheBrookDesignAnnonce de la boutique BytheBrookDesignBoutique : BytheBrookDesignDe la boutique BytheBrookDesignUSD10.00",https://www.etsy.com/fr/listing/1587562177/agenda-numerique-2026-pour-goodnotes,10.00,,,True,145,,,BytheBrookDesign,https://www.etsy.com/fr/shop/BytheBrookDesign?ref=shop-header-name&listing_id=1587562177&from_page=listing,,0.0,2025-10-14T11:57:19.225188
"Best-seller+6Agenda personnalisé, Agenda en cuir rechargeable, Bloc-notes personnalisé avec agenda, Agenda quotidien, Agenda personnalisé, Productivité de la liste des tâches4.7(27,2 K)Annonce deATHENUSAnnonce de la boutique ATHENUSFabriqué par ATHENUSDe la boutique ATHENUSPrix réduit USD 18.36USD18.36USD40.80Prix d'origine USD 40.80(55 % de réduction)",https://www.etsy.com/fr/listing/1522769389/agenda-personnalise-agenda-en-cuir,18.36,,,False,140,,,ATHENUS,https://www.etsy.com/fr/shop/ATHENUS?ref=shop-header-name&listing_id=1522769389&from_page=listing,,0.0,2025-10-14T11:57:40.943220
"LoadingPopulaireTéléchargement numériqueAgenda numérique tout-en-un 2025 2026 2027, agenda numérique, journal numérique, modèle Digital Goodnotes, hebdomadaire, agenda quotidien du mois4.6(2,8 K)Annonce de PrintMagicStudioXAnnonce de la boutique PrintMagicStudioXBoutique :PrintMagicStudioXDe la boutique PrintMagicStudioXPrix réduit USD 0.52USD0.52USD1.50Prix d'origine USD 1.50(65 % de réduction)",https://www.etsy.com/fr/listing/4315279642/agenda-numerique-tout-en-un-2025-2026,0.52,,,True,145,,,PrintMagicStudioX,https://www.etsy.com/fr/shop/PrintMagicStudioX?ref=shop-header-name&listing_id=4315279642&from_page=listing,,0.0,2025-10-14T11:57:58.200466
"LoadingPopulaireTéléchargement numérique2026 Digital Planner, 2026 Portrait Planner, 2026 Planner, 2026 Dated Planner, Hyperlinked Digital Life Planner, GoodNotes 2026 Planner iPad4.8(4 K)Annonce de TheFlowPlannerAnnonce de la boutique TheFlowPlannerFabriqué parTheFlowPlannerDe la boutique TheFlowPlannerPrix réduit USD 18.74USD18.74USD24.99Prix d'origine USD 24.99(25 % de réduction)",https://www.etsy.com/fr/listing/1127394968/2026-digital-planner-2026-portrait,18.74,,,True,148,,,TheFlowPlanner,https://www.etsy.com/fr/shop/TheFlowPlanner?ref=shop-header-name&listing_id=1127394968&from_page=listing,,0.0,2025-10-14T11:58:17.642074
